ITWAC	REPUBBLICA	WIKICONLL	ADV-N	semantica nome	serve contesto	valore prefisso	contesto
4	11	0	pre-accordi	processo	x
							ITWAC	In relazione all utilizzo di alcuni di questi beni vi erano degli accordi pregressi ( o dei	pre-accordi	) ; al riguardo , ho qui con me un verbale del consiglio di amministrazione di ETI - che evito
							REPUBBLICA	per l ingresso dell Albania nella conferenza sulla sicurezza e la cooperazione in Europa ( Csce ) una sorta di	pre-condizione	per l accesso di Tirana ad alcuni importanti sportelli bancari europei e mondiali .
							REPUBBLICA	Al contrario , l identificazione dei responsabili a qualunque livello appartengano è considerata la	pre-condizione	indispensabile per un pieno recupero di credibilità nel paese .
							REPUBBLICA	E soprattutto , perché Teheran ha lasciato perdere la	pre-condizione	, la richiesta che prima di una tregua vengano assegnate le responsabilità del conflitto , evidentemente all Iraq ?

142	52	0	pre-condizioni	condizione	x
							ITWAC	ARTE GIOVANILE : Sono in corso riunioni per verificare alcune	pre-condizioni	.
							ITWAC	indicatori strutturali , cioè le	pre-condizioni	organizzative del servizio scolastico e degli altri servizi territoriali che garantiscono in prospettiva una maggiore o minore qualità dell integrazione
							ITWAC	E le vede mature , queste due	pre-condizioni	?
							ITWAC	In queste prospettive si indagheranno in una prima parte : a ) le premesse intellettuali e le	pre-condizioni	sociali dell emergere del pensiero sociale moderno e dell analisi sociologica b ) I dilemmi ed i concetti base dell
							ITWAC	( by Nirmala Carvalho ) 21 - 04 - 2005 cina - vaticano - Il Primo ministro cinese riafferma le	pre-condizioni	per i ...
							ITWAC	« Due	pre-condizioni	, assolutamente irrinunciabili .
							ITWAC	Questi ultimi non determinano solo le 	pre-condizioni	 per le trasformazioni , ma costituiscono i cardini di un progetto di assetto territoriale .
							ITWAC	accordo in forma di pacchetto per l intero 2005 , inoltre i sindacati non danno il loro assenso per ulteriori	pre-condizioni	per l erogazione della tredicesima , dato che nell accordo è stabilito che l azienda  provvede ad erogare la
							ITWAC	in logica benchmarking , dei casi osservati rispetto a consolidate esperienze pubbliche di innovazione , sono state individuate alcune 	pre-condizioni	 di efficacia del processo .
							ITWAC	Il calcolo dei mezzi e l analisi scrupolosa dei fini sono	pre-condizioni	dell agire conseguente .
							ITWAC	un altra , rimanendo nel limbo dell ora d aria pulita , quanto per individuare quella che è una delle	pre-condizioni	fondamentali per ritrovare proprio la politica  altra  , che poi ciascuno potrà identificare con il termine che riterrà
							ITWAC	larghi consensi popolari , dovrebbe significare che è , in certo senso , esaurita quella fase preliminare di costruzione delle	pre-condizioni	 sociali  di una democrazia : gli anni del  centro-sinistra  , del succesivo ampliamento delle maggioranze a
							ITWAC	verso le necessità di una situazione critica di emergenza ; determinare il personale a reagire all emergenza , stabilire le	pre-condizioni	e mobilitare in particolar modo squadre addestrate e risorse ; monitorare , indirizzare diversamente o bloccare i sistemi di trasporto
							ITWAC	sociale , della messa in sicurezza del territorio e della qualità dei servizi al cittadino , che vanno intese come	pre-condizioni	per riconsiderare le politiche di sviluppo urbanistico , economico e sociale , riconvertendo i servizi e le attività locali ,
							ITWAC	Il sindaco riapre uno spiraglio di dialogo ( « Si può tornare a discutere » ) , ma aggiunge due	pre-condizioni	, le stesse di sei anni fa : prima il Leoncavallo deve darsi una forma giuridica legale e fare pubblica
							ITWAC	Ai paesi dell ´ Africa subsahariana , decimati da epidemie di Aids e malaria , mancano alcune	pre-condizioni	essenziali di un decollo .
							ITWAC	ha poi affermato che il premier Sharon gli ha garantito di « essere pronto a negoziare con la Siria senza	pre-condizioni	» .
							ITWAC	In via orientativa , le Regioni al fine di accertare la sussistenza di dette	pre-condizioni	potranno seguire i seguenti criteri e indicatori : a ) capacità amministrativa e istituzionale , intendendo per tale la capacità
							REPUBBLICA	; fine dell apartheid ; accordo per iniziare un negoziato in buona fede ; piena rappresentanza della maggioranza nera senza	pre-condizioni	.
							REPUBBLICA	Rispetto al grande boom del secondo dopoguerra non esistono più alcune elementari	pre-condizioni	sociali , economiche e culturali che consentirono quel gigantesco esodo di massa .
							REPUBBLICA	iniziative acquistano decisamente il sapore di due  segnali di buona volontà  diretti soprattutto alla Cina ; infatti le	pre-condizioni	che Pechino pone da tempo a una normalizzazione dei rapporti con Mosca sono il ritiro delle truppe sovietiche dall Afghanistan
							REPUBBLICA	NEGOZIATO CON LA SIRIA --  Il governo negozierà con la Siria senza	pre-condizioni	.
							REPUBBLICA	Ma queste due condizioni , -- che forse sarebbe più corretto chiamare	pre-condizioni	, -- non sarebbero così fortemente operanti , se non se ne innescasse una terza , d assai maggior rilievo
							REPUBBLICA	Ma perché scocchi per davvero , due	pre-condizioni	sono indispensabili .
							REPUBBLICA	Ma perché questo avvenga , sono necessarie due	pre-condizioni	.

18	0	0	pre-conoscenze	condizione		x precedente
							ITWAC	boccone ( l insegnante verifica gli apprendimenti e confronta gli elaborati grafici con quelli prodotti in fase di analisi delle	pre-conoscenze	) .
							ITWAC	Metodologia : analisi dei fenomeni e ricognizioni delle	pre-conoscenze	possedute dai bambini .
							ITWAC	PROCEDURA Come immagino Avacelli ed il suo teritorio mappa delle	pre-conoscenze	personale e collettiva .
							ITWAC	In particolare , ha esaminato il ruolo di due variabili che , oltre alla	pre-conoscenze	sull argomento , sembrano influire sul mutamento di teoria , ossia l interpretazione di dati anomali e le credenze epistemologiche
							ITWAC	Il percorso formativo prevede un articolazione modulare che si snoda attraverso le seguenti fasi : Omogeneizzazione - verifica delle	pre-conoscenze	culturali ; Conoscenza - acquisizione di competenze ; Stage  acquisizione abilità di natura pratica ed operativa ; Monitoraggio e
							ITWAC	In classe : approfondimento aspetti osservati confronto con le	pre-conoscenze	, con le cartine topografica e tematica della vegetazione e geologica con le informazioni raccolte dai libri per conoscere flora
							ITWAC	uno dei seguenti criteri : sono bilingui tedesco / italiano ; hanno delle pre-conoscenze in italiano oppure non hanno delle	pre-conoscenze	, ma sono in possesso di particolari abilità nell ambito dell apprendimento linguistico e appartengono al circondario della scuola elementare
							ITWAC	Si traccerà una prima mappa dei problemi interlinguistici , dei meccanismi di comprensione e del ruolo delle	pre-conoscenze	, si parlerà della lingua italiana sia come strumento veicolare , sia come strumento di studio .
							ITWAC	Dall  immaginario  (	pre-conoscenze	...
							ITWAC	di spiegazioni alternative di un fenomeno può fornire una motivazione vincolante per l impegno nell analisi e nella valorizzazione delle	pre-conoscenze	degli studenti , come richiede la pedagogia costruttivista ( Monk & Osborne , 1997 ) , marcando la distinzione tra
							ITWAC	alunni in riferimento allo specifico obiettivo formativo per individuare quali sono i loro livelli di sviluppo e di apprendimento (	pre-conoscenze	, pre-capacità ...
							ITWAC	Esplicitazione di	pre-conoscenze	Discussioni collettive per costruire conoscenza intersoggettiva .
							ITWAC	16 alunni , che rispondono ad almeno uno dei seguenti criteri : sono bilingui tedesco / italiano ; hanno delle	pre-conoscenze	in italiano oppure non hanno delle pre-conoscenze , ma sono in possesso di particolari abilità nell ambito dell apprendimento linguistico
							ITWAC	Approfondimento aspetti osservati - Confronto con le	pre-conoscenze	, con le cartine topografica , tematica della vegetazione e geologica , con le informazioni raccolte dai libri per conoscere
							ITWAC	Domande :  Il software tiene conto delle	pre-conoscenze	, delle competenze , delle rappresentazioni , delle attribuzioni di significato di partenza dello studente ?
							ITWAC	conoscenze capace di rendere più agevole la comprensione e l assimilazione dei temi seguenti ; - autonomo , perchè ,	pre-conoscenze	( cioè le conoscenze presupposte ) e conoscenze funzionalial tema centrale sono fornite all interno del modulo nella misura funzionale
							ITWAC	ricerca , relativa alle  opportunità dei bambini di società diverse nel mondo  , dopo un analisi delle loro	pre-conoscenze	, hanno voluto  sapere di più  sulla vita quotidiana di bambini di altri Paesi del mondo per scoprire
							ITWAC	) necessaria a rilevare , e a condividere negli allievi i saperi naturali , gli ambienti di esperienza , le	pre-conoscenze	e le competenze consolidate ( si raccolgono le esperienze / conoscenze di tutti e via via si procede all affinamento
							ITWAC	Come immagino Avacelli ed il suo territorio : mappa delle	pre-conoscenze	personali e collettive .
							ITWAC	Se vogliamo dare centralità allo studente e alla sua soggettività , allora l insegnamento della Shoah deve partire dalle	pre-conoscenze	e dai modi con cui si è costruito un qualche sapere nella testa ( e nel cuore ) dei ragazzi
							ITWAC	alunni possiedono del computer per renderci conto delle loro aspettative nei confronti delle macchine e di quali siano effettivamente le	pre-conoscenze	attraverso le quali interpretano il mondo della tecnologia e dell informatica .
							ITWAC	L adulto ha comunque delle	pre-conoscenze	che gli permettono di capire il nuovo input e le situazioni che si vengono a creare ; l insegnante può
							ITWAC	genetiche con le stimolazioni socioculturali , sia che le potenzialità genetiche vengano intese come presenza di pre-capacità , pre-atteggiamenti ,	pre-conoscenze	che hanno bisogno solo di stimoli per esplicarsi , venir fuori , svilupparsi , sia invece che , come oggi
							ITWAC	circolo ermeneutico  , e quindi impegna nel difficile compito di una continua rielaborazione e riformulazione dei preconcetti , delle	pre-conoscenze	con cui si inizia l interpretazione , fino a che , dopo essere stati messi più volte a confronto con

0	5	0	pre-consultazione	processo	x	x preliminare
							ITWAC	Fra l altro , qualcuno ha proposto di dare anche agli stranieri la possibilità di esprimersi in questa	pre-consultazione	: mi sembrerebbe un segnale interessante » .
							ITWAC	che una grande consultazione popolare , dove si decidono i futuri governi regionali , sembra di assistere a una colossale	pre-consultazione	.
							ITWAC	quando il governatore lombardo Roberto Formigoni ha lanciato pubblicamente ( e sono trascorsi appena 4 giorni ) l idea della	pre-consultazione	elettorale come nuovo e - soprattutto per la Cdl - innovativo metodo per selezionare i futuri quadri dirigenti del centrodestra
							ITWAC		pre-consultazione	: per la individuazione dei criteri sulla base dei quali formulare le proposte ; 2 .
							ITWAC	Le fasi di	pre-consultazione	e consultazione sono rivolte a tutti i componenti l organismo dirigente interessato e possono essere effettuate in modo individuale o
							ITWAC	E facoltativo : - espletare la fase della	pre-consultazione	: per i componenti della segreteria regionale , esclusa la segreteria generale , e per il livello territoriale , se
							ITWAC	autonome o a scavalco dei partiti , sigle autoreferenziali ) e di prospettive ( perché c era anche chi la	pre-consultazione	degli elettori non la gradisce ) .
							ITWAC	07.26 Le fasi di	pre-consultazione	e consultazione sono rivolte a tutti i componenti l organismo dirigente interessato e possono essere effettuate in modo individuale o
							ITWAC	07.27 E facoltativo : - espletare la fase della	pre-consultazione	: per i componenti della segreteria regionale , esclusa la segreteria generale , e per il livello territoriale , se
							REPUBBLICA	organizzativo è stato coinvolgere nella consultazione un numero elevatissimo di dirigenti : per l esattezza 60 comunisti in occasione della	pre-consultazione	personale condotta da Trentin , poi 102 sindacaliste per formare la rosa delle candidate da inserire nella segreteria , quindi
							REPUBBLICA	Ottima l affermazione della Farinelli che ha avuto 140 preferenze ( mentre nella	pre-consultazione	delle donne aveva avuto solo 27 voti su 102 ) ed ha così surclassato la Bisogni data invece per favorita
							REPUBBLICA	L Italia che vota Una	pre-consultazione	per mettere insieme la lista .
							REPUBBLICA	Siamo dunque di fronte a una sorta di	pre-consultazione	molto più impegnativa di quanto non possa essere un intervista o un comizio di piazza .
							REPUBBLICA	dei sindacati ( nonché la sostanziale neutralità di Rifondazione comunista ) sta nell aver accettato ieri mattina , in una	pre-consultazione	con Cofferati , D Antoni e Larizza , di cancellare dal testo un paio di pagine in cui si dettagliavano

251	5	0	pre-contratti	evento	x
							ITWAC	ribadito che i pre-contratti non sostituiscono i contratti integrativi di secondo livello e che non esiste alcuna contrapposizione tra i	pre-contratti	e gli accordi aziendali che scadono alla fine dell anno .
